generation_no,run_desc,population_size,Sum of fitness
103,Standard Algorithm,30,-80
103,Standard Algorithm,60,-20
103,Standard Algorithm,120,0
104,Improved Algorithm,15,-195
104,Improved Algorithm,30,15
104,Improved Algorithm,60,35
104,Improved Algorithm,120,80
104,Standard Algorithm,15,-315
104,Standard Algorithm,30,-80
104,Standard Algorithm,60,-20
104,Standard Algorithm,120,0
105,Improved Algorithm,15,-195
105,Improved Algorithm,30,15
105,Improved Algorithm,60,35
105,Improved Algorithm,120,80
105,Standard Algorithm,15,-315
105,Standard Algorithm,30,-80
105,Standard Algorithm,60,-20
105,Standard Algorithm,120,0
106,Improved Algorithm,15,-195
106,Improved Algorithm,30,15
106,Improved Algorithm,60,35
106,Improved Algorithm,120,80
106,Standard Algorithm,15,-315
106,Standard Algorithm,30,-80
106,Standard Algorithm,60,-20
106,Standard Algorithm,120,0
107,Improved Algorithm,15,-195
107,Improved Algorithm,30,15
107,Improved Algorithm,60,35
107,Improved Algorithm,120,80
107,Standard Algorithm,15,-315
107,Standard Algorithm,30,-70
107,Standard Algorithm,60,-20
107,Standard Algorithm,120,0
108,Improved Algorithm,15,-195
108,Improved Algorithm,30,15
108,Improved Algorithm,60,35
108,Improved Algorithm,120,80
108,Standard Algorithm,15,-315
108,Standard Algorithm,30,-70
108,Standard Algorithm,60,-20
108,Standard Algorithm,120,0
109,Improved Algorithm,15,-195
109,Improved Algorithm,30,15
109,Improved Algorithm,60,35
109,Improved Algorithm,120,80
109,Standard Algorithm,15,-315
109,Standard Algorithm,30,-70
109,Standard Algorithm,60,-20
109,Standard Algorithm,120,0
110,Improved Algorithm,15,-195
110,Improved Algorithm,30,15
110,Improved Algorithm,60,35
