generation_no,run_desc,population_size,Sum of fitness
107,Standard Algorithm,15,-495
107,Standard Algorithm,30,-105
107,Standard Algorithm,60,45
107,Standard Algorithm,120,45
108,Improved Algorithm,15,-325
108,Improved Algorithm,30,10
108,Improved Algorithm,60,25
108,Improved Algorithm,120,75
108,Standard Algorithm,15,-495
108,Standard Algorithm,30,-105
108,Standard Algorithm,60,45
108,Standard Algorithm,120,45
109,Improved Algorithm,15,-325
109,Improved Algorithm,30,15
109,Improved Algorithm,60,25
109,Improved Algorithm,120,80
109,Standard Algorithm,15,-495
109,Standard Algorithm,30,-105
109,Standard Algorithm,60,45
109,Standard Algorithm,120,45
110,Improved Algorithm,15,-325
110,Improved Algorithm,30,15
