generation_no,run_desc,population_size,Sum of fitness
103,Standard Algorithm,15,-1020
103,Standard Algorithm,30,-335
103,Standard Algorithm,60,-130
103,Standard Algorithm,120,-85
104,Improved Algorithm,15,-690
104,Improved Algorithm,30,-145
104,Improved Algorithm,60,-45
104,Improved Algorithm,120,5
104,Standard Algorithm,15,-1020
104,Standard Algorithm,30,-335
104,Standard Algorithm,60,-120
104,Standard Algorithm,120,-75
105,Improved Algorithm,15,-690
105,Improved Algorithm,30,-145
105,Improved Algorithm,60,-45
105,Improved Algorithm,120,5
105,Standard Algorithm,15,-1020
105,Standard Algorithm,30,-325
105,Standard Algorithm,60,-120
105,Standard Algorithm,120,-65
106,Improved Algorithm,15,-690
106,Improved Algorithm,30,-145
106,Improved Algorithm,60,-35
106,Improved Algorithm,120,5
106,Standard Algorithm,15,-1020
106,Standard Algorithm,30,-325
106,Standard Algorithm,60,-120
106,Standard Algorithm,120,-60
107,Improved Algorithm,15,-690
107,Improved Algorithm,30,-145
107,Improved Algorithm,60,-35
107,Improved Algorithm,120,5
107,Standard Algorithm,15,-1020
107,Standard Algorithm,30,-315
107,Standard Algorithm,60,-115
107,Standard Algorithm,120,-55
108,Improved Algorithm,15,-690
108,Improved Algorithm,30,-145
108,Improved Algorithm,60,-35
